Kernel,Height,Width,Filter Size,Time (ms),Stddev (ms),GFLOPS,Bandwidth (GB/s)
const_mem,256,256,3,0.018998,0.013739,62.0941,262.1749
cudnn,256,256,3,0.025433,0.012823,46.3827,195.8379
naive,256,256,3,0.017079,0.013616,69.0699,291.6286
tiled,256,256,3,0.018175,0.018652,64.9037,274.0378
const_mem,256,256,5,0.02837,0.020105,115.5026,471.2508
cudnn,256,256,5,0.02702,0.012208,121.2724,494.7915
naive,256,256,5,0.017551,0.009039,186.6978,761.7271
tiled,256,256,5,0.018662,0.008208,175.583,716.3787
const_mem,256,256,7,0.023775,0.012911,270.141,1091.5902
cudnn,256,256,7,0.104234,0.010582,61.6163,248.9801
naive,256,256,7,0.02057,0.012762,312.2339,1261.6799
tiled,256,256,7,0.024524,0.010317,261.8857,1058.2322
const_mem,256,256,9,0.029722,0.010973,357.2016,1437.6263
cudnn,256,256,9,0.137389,0.013055,77.2755,311.0099
naive,256,256,9,0.026582,0.013146,399.4027,1607.4728
tiled,256,256,9,0.03588,0.004825,295.9009,1190.9098
const_mem,256,256,11,0.046504,0.03941,341.0421,1369.8053
cudnn,256,256,11,0.174774,0.006241,90.7439,364.4756
naive,256,256,11,0.030394,0.003931,521.8,2095.825
tiled,256,256,11,0.046346,0.006424,342.2053,1374.4774
const_mem,512,512,3,0.020394,0.010077,231.3688,976.8906
cudnn,512,512,3,0.031151,0.015486,151.4762,639.566
naive,512,512,3,0.022074,0.01049,213.7601,902.5427
tiled,512,512,3,0.016643,0.001875,283.5147,1197.062
const_mem,512,512,5,0.039601,0.01648,330.9792,1350.3953
cudnn,512,512,5,0.044988,0.010176,291.3519,1188.7157
naive,512,512,5,0.031789,0.007559,412.3131,1682.2374
tiled,512,512,5,0.044792,0.009926,292.6216,1193.896
const_mem,512,512,7,0.048639,0.014105,528.1822,2134.2874
cudnn,512,512,7,0.297043,0.011804,86.4861,349.4745
naive,512,512,7,0.047901,0.008777,536.3118,2167.1377
tiled,512,512,7,0.060919,0.006539,421.7091,1704.0492
const_mem,512,512,9,0.073972,0.007651,574.1011,2310.5796
cudnn,512,512,9,0.424655,0.00869,100.0042,402.4862
naive,512,512,9,0.070759,0.006497,600.1681,2415.4912
tiled,512,512,9,0.120169,0.005211,353.3967,1422.3127
const_mem,512,512,11,0.098838,0.00924,641.8441,2577.9854
cudnn,512,512,11,0.585841,0.009783,108.2869,434.9374
naive,512,512,11,0.108564,0.015042,584.3459,2347.0425
tiled,512,512,11,0.15884,0.002439,399.3893,1604.1586
const_mem,1024,1024,3,0.049857,0.014076,378.5727,1598.4181
cudnn,1024,1024,3,0.085213,0.021299,221.4969,935.209
naive,1024,1024,3,0.057578,0.009661,327.8076,1384.0765
tiled,1024,1024,3,0.050831,0.001416,371.3181,1567.7877
const_mem,1024,1024,5,0.104168,0.014175,503.3116,2053.5115
cudnn,1024,1024,5,0.152,0.016044,344.9263,1407.2994
naive,1024,1024,5,0.105597,0.008965,496.4999,2025.7195
tiled,1024,1024,5,0.155096,0.009622,338.0402,1379.2041
const_mem,1024,1024,7,0.156158,0.014304,658.0541,2659.0757
cudnn,1024,1024,7,0.246723,0.01024,416.5009,1683.0037
naive,1024,1024,7,0.169684,0.01092,605.5972,2447.1072
tiled,1024,1024,7,0.225981,0.010387,454.7309,1837.4839
const_mem,1024,1024,9,0.275882,0.042716,615.7311,2478.1279
cudnn,1024,1024,9,0.339462,0.013868,500.407,2013.9836
naive,1024,1024,9,0.260512,0.012195,652.0596,2624.3384
tiled,1024,1024,9,0.461388,0.010511,368.1706,1481.7729
const_mem,1024,1024,11,0.344618,0.012272,736.3391,2957.5271
cudnn,1024,1024,11,0.468837,0.010257,541.2443,2173.9233
naive,1024,1024,11,0.372038,0.006729,682.069,2739.5498
tiled,1024,1024,11,0.608986,0.009037,416.6853,1673.6287
const_mem,2048,2048,3,0.165632,0.018803,455.8145,1924.5503
cudnn,2048,2048,3,0.241173,0.00902,313.0435,1321.739
naive,2048,2048,3,0.201453,0.011662,374.7639,1582.3364
tiled,2048,2048,3,0.189173,0.00536,399.0921,1685.0554
const_mem,2048,2048,5,0.374875,0.041875,559.4272,2282.4629
cudnn,2048,2048,5,0.565601,0.009716,370.7828,1512.7939
naive,2048,2048,5,0.391372,0.022036,535.8468,2186.2549
tiled,2048,2048,5,0.583354,0.008711,359.4993,1466.757
const_mem,2048,2048,7,0.550895,0.010512,746.1341,3014.9907
cudnn,2048,2048,7,0.891912,0.013954,460.8548,1862.2296
naive,2048,2048,7,0.641683,0.013795,640.5686,2588.4202
tiled,2048,2048,7,0.866962,0.009453,474.1174,1915.8213
const_mem,2048,2048,9,0.908232,0.103793,748.1321,3011.0007
cudnn,2048,2048,9,0.976008,0.010868,696.1802,2801.9104
naive,2048,2048,9,0.995709,0.009052,682.4056,2746.4719
tiled,2048,2048,9,1.810496,0.01622,375.299,1510.4626
const_mem,2048,2048,11,1.313071,0.01451,773.0135,3104.8308
cudnn,2048,2048,11,1.406359,0.108544,721.7372,2898.8784
naive,2048,2048,11,1.457122,0.009707,696.5935,2797.8879
tiled,2048,2048,11,2.387085,0.011812,425.2139,1707.8839
const_mem,4096,4096,3,0.799716,0.016974,377.6212,1594.4008
cudnn,4096,4096,3,0.983294,0.054887,307.1206,1296.7314
naive,4096,4096,3,0.879677,0.007509,343.2962,1449.4728
tiled,4096,4096,3,0.843158,0.008718,358.1653,1512.2534
const_mem,4096,4096,5,1.256457,0.117388,667.6396,2723.9697
cudnn,4096,4096,5,2.163654,0.059166,387.7056,1581.8389
naive,4096,4096,5,1.566846,0.040457,535.3817,2184.3574
tiled,4096,4096,5,2.340251,0.01097,358.449,1462.472
const_mem,4096,4096,7,1.860797,0.053937,883.5823,3570.3936
cudnn,4096,4096,7,2.959283,0.034089,555.5966,2245.0635
naive,4096,4096,7,2.545962,0.008298,645.7941,2609.5354
tiled,4096,4096,7,2.808035,0.178941,585.5223,2365.9883
const_mem,4096,4096,9,3.104623,0.091537,875.4393,3523.3733
cudnn,4096,4096,9,4.029173,0.124535,674.5575,2714.8855
naive,4096,4096,9,3.655168,0.264835,743.5798,2992.6794
tiled,4096,4096,9,5.603921,0.397173,485.0013,1951.9806
const_mem,4096,4096,11,4.243337,0.097125,956.8146,3843.0732
cudnn,4096,4096,11,5.677132,0.057949,715.165,2872.481
naive,4096,4096,11,5.380315,0.415549,754.6187,3030.948
tiled,4096,4096,11,7.114097,0.186206,570.71,2292.2732
